TSid,dataSetName,iso2kUI,archiveType,pub1_doi,lat,lon,elevation,siteName,minYear,maxYear,variableName,units,description,measurementMaterial,measurementMaterialDetail,climateVariable,climateVariableDetail,seasonality,direction,isotopeInterpretation1_inferredMaterial,isotopeInterpretation1_direction,isotopeInterpretation1_variable,isotopeInterpretation1_seasonality,QC comments,QC Certification,Iso2k primary timeseries for dataset,link to lipdverse,QC notes from Hackathon #2 (and initials),Iso2k QC certification (INITIALS)
Ocean2kHR_001,CO00COKY,CO00COKY01A,Coral,10.1126/science.287.5453.617,-3.2556,40.1433,-6,Malindi Marine Park,-44,149,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) JT, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO00COKY.html,,DMT (1/14/19)
Ocean2kHR_124,CO00DRBE,CO00DRBE01A,Coral,10.1007/s005310050301,32.3,-64.7,-25,"Northeast Breakers, Bermuda",30,94,d18O,permil,carbonate,coral,aragonite,T,sea surface,,decrease,surface seawater,negative,T_water,,,"DMT (1/14/19) CS, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO00DRBE.html,,DMT (1/14/19)
Ocean2kHR_125,CO00DRBE,CO00DRBE02A,Coral,10.1007/s005310050301,32.3,-64.7,-25,"Northeast Breakers, Bermuda",46,117,d18O,permil,carbonate,coral,aragonite,T,sea surface,,decrease,surface seawater,negative,T_water,,,"DMT (1/14/19) CS, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO00DRBE.html,,DMT (1/14/19)
Ocean2kHR_019,CO00FERA,CO00FERA01A,Coral,10.1029/1999PA000477,27.85,34.32,-6,"Ras Umm Sidd, Red Sea",-45.583,198.917,d18O,permil,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,,"DMT (1/14/19) JZ, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO00FERA.html,,DMT (1/14/19)
CO00KUNI01Aa,CO00KUNI,CO00KUNI01A,Coral,10.1007/s005310050300,-21.905,113.965,,"Ningaloo Reef, West Australia",-45.21,71.29,d18O,permil,carbonate,coral,aragonite,,,,,surface seawater,negative,T_water,,,DMT (1/14/19),DUPLICATE?,http://lipdverse.org/iso2k/0_12_0/CO00KUNI.html,,DMT (1/14/19)-- I think this is a douplicate of CO00KUNI01Ab (remove)
CO00KUNI01Ab,CO00KUNI,CO00KUNI01A,Coral,10.1007/s005310050300,-21.905,113.965,,"Ningaloo Reef, West Australia",-44.92,70.92,d18O,permil,carbonate,coral,aragonite,,,,,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO00KUNI.html,,DMT (1/14/19)
Ocean2kHR_177,CO00URMA,CO00URMA01,Coral,10.1038/35039597,0.933,173,6,"Maiana Atoll, Republic of Kiribati",-44.5,110,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KJA, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO00URMA.html,,DMT (1/14/19)
CO00URMA01A,CO00URMA,CO00URMA01A,Coral,10.1038/35039597,0.933,173,6,"Maiana Atoll, Republic of Kiribati",-44.5,110,d18O,permil,carbonate,coral,aragonite,,,,,,,,,,,DUPLICATE,http://lipdverse.org/iso2k/0_12_0/CO00URMA.html,,
Ocean2kHR_140,CO01TUNG,CO01TUNG01A,Coral,10.1126/science.1057969,-5.217,145.817,-3,"Deplik Tabat Reef, Madang Lagoon",-43.042,69.208,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KLD, NJA",?,http://lipdverse.org/iso2k/0_12_0/CO01TUNG.html,,DMT (1/14/19)
Ocean2kHR_141,CO01TUNG,CO01TUNG02A,Coral,10.1126/science.1057969,-5.217,145.817,-3,"Deplik Tabat Reef, Madang Lagoon",-43.042,65.458,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KLD, NJA",?,http://lipdverse.org/iso2k/0_12_0/CO01TUNG.html,,DMT (1/14/19)
Ocean2kHR_102,CO02KUBE,CO02KUBE01A,Coral,10.1016/S0031-0182(01)00410-2,32.47,-64.7,-11,"North East Breakers, Bermuda",345.79,430.79,d18O,permil,carbonate,coral,aragonite,T,sea surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,Note: floating fossil coral sections have greater uncertainty in absolute temperature for palaeoclimate reconstructions (NJA),"DMT (1/14/19) KHK, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO02KUBE.html,,DMT (1/14/19)
Ocean2kHR_103,CO02KUBE,,Coral,10.1016/S0031-0182(01)00410-2,32.47,-64.7,-11,"North East Breakers, Bermuda",346.21,421.29,Sr/Ca,mmol/mol,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,,,,NM: Marked as false because it has <50 years of continuous data,"DMT (1/14/19) KHK, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO02KUBE.html,,DMT (1/14/19)
Ocean2kHR_006,CO03CHBA,CO03CHBA01A,Coral,10.1016/S0025-3227(03)00217-2,-8.2573,115.5757,-3,"Lombok Strait, Bali, Indonesia",-40,168,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) JZ, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO03CHBA.html,,DMT (1/14/19)
Ocean2kHR_171,CO03CHBU,CO03CHBU01A,Coral,10.1016/S0025-3227(03)00217-2,-1.5,124.833,-3,Bunaken Island,-40.58,90,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KJA, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO03CHBU.html,,DMT (1/14/19)
Ocean2kHR_139,CO03COPM,CO03COPM00A,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),-48.37,1021.87,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,Note: floating fossil coral sections have greater uncertainty in absolute temperature for palaeoclimate reconstructions (NJA),"DMT (1/14/19) KLD, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM02A,CO03COPM,CO03COPM02A,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),988.92,1021.92,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
